2025-11-14 10:20:17,933 - root - INFO - Logging configured successfully.
2025-11-14 10:20:17,934 - root - INFO - Log level: INFO, Log file: logs\last.log
2025-11-14 10:20:17,934 - corrector.core.run - INFO - Starting hysteresis data collection script
2025-11-14 10:20:17,934 - flexsem.state.manager - INFO - Connecting to 192.168.1.1:3000
2025-11-14 10:20:17,936 - flexsem.state.manager - INFO - Connected to 192.168.1.1:3000
2025-11-14 10:20:17,936 - corrector.core.run - INFO - Connected to 0300 SEM device
2025-11-14 10:20:17,995 - corrector.core.run - INFO - Dataset will be saved to hysteresis_dataset_20251114_102017.jsonl
2025-11-14 10:20:18,074 - corrector.core.run - INFO - --- Starting Iteration 1 at Base: (614250, -1255700) ---
2025-11-14 10:20:18,999 - corrector.core.run - INFO - Magnification and focus set for experiment 'random_walk_2d'
2025-11-14 10:20:19,954 - corrector.core.run - INFO - Moved to base position for experiment: x=614250, y=-1255700
2025-11-14 10:20:25,336 - corrector.core.run - INFO - Step 1/501: Moving to target x=614250, y=-1255700
2025-11-14 10:20:30,445 - corrector.core.drift - INFO - Phase correlation: shift=(0.06727007149527253, 0.07097220361958989) conf=1.0028886351308184
2025-11-14 10:20:30,526 - corrector.core.run - INFO - Drift detected: (dx=-1, dy=1) with conf=1.0029
2025-11-14 10:20:31,226 - corrector.core.run - INFO - Step 2/501: Moving to target x=612397, y=-1259587
2025-11-14 10:20:36,592 - corrector.core.drift - INFO - Phase correlation: shift=(-35.12433141122119, 203.22795334305715) conf=0.6971501662460601
2025-11-14 10:20:36,672 - corrector.core.run - INFO - Drift detected: (dx=581, dy=3361) with conf=0.6972
2025-11-14 10:20:37,358 - corrector.core.run - INFO - Step 3/501: Moving to target x=622268, y=-1251773
2025-11-14 10:20:41,493 - corrector.core.drift - INFO - Phase correlation: shift=(487.1037314400455, 39.29127364264332) conf=0.3823669428034929
2025-11-14 10:20:41,572 - corrector.core.run - INFO - Drift detected: (dx=-8055, dy=650) with conf=0.3824
2025-11-14 10:20:42,321 - corrector.core.run - INFO - Step 4/501: Moving to target x=614801, y=-1265021
2025-11-14 10:20:49,346 - corrector.core.drift - INFO - Phase correlation: shift=(129.24720486222736, -404.1523206650412) conf=0.31206795536590554
2025-11-14 10:20:49,426 - corrector.core.run - INFO - Drift detected: (dx=-2137, dy=-6683) with conf=0.3121
2025-11-14 10:20:50,174 - corrector.core.run - INFO - Step 5/501: Moving to target x=609131, y=-1249315
2025-11-14 10:20:55,552 - corrector.core.drift - INFO - Phase correlation: shift=(-81.07508411020785, -152.75056201141206) conf=0.7328843555755313
2025-11-14 10:20:55,600 - corrector.core.run - INFO - Drift detected: (dx=1341, dy=-2526) with conf=0.7329
2025-11-14 10:20:56,270 - corrector.core.run - INFO - Step 6/501: Moving to target x=611074, y=-1261338
2025-11-14 10:21:01,888 - corrector.core.drift - INFO - Phase correlation: shift=(-136.00860028652602, 299.76749453521495) conf=0.5176086060098538
2025-11-14 10:21:01,968 - corrector.core.run - INFO - Drift detected: (dx=2249, dy=4957) with conf=0.5176
2025-11-14 10:21:02,734 - corrector.core.run - INFO - Step 7/501: Moving to target x=613495, y=-1247283
2025-11-14 10:21:08,147 - corrector.core.drift - INFO - Phase correlation: shift=(-1.0401528665613569, -245.03187894921118) conf=0.6441226525383592
2025-11-14 10:21:08,211 - corrector.core.run - INFO - Drift detected: (dx=17, dy=-4052) with conf=0.6441
2025-11-14 10:21:08,880 - corrector.core.run - INFO - Step 8/501: Moving to target x=610701, y=-1249813
2025-11-14 10:21:14,403 - corrector.core.drift - INFO - Phase correlation: shift=(-23.724137991229668, -214.40585134633653) conf=0.6778059409277003
2025-11-14 10:21:14,483 - corrector.core.run - INFO - Drift detected: (dx=392, dy=-3546) with conf=0.6778
2025-11-14 10:21:15,201 - corrector.core.run - INFO - Step 9/501: Moving to target x=606777, y=-1261154
2025-11-14 10:21:20,733 - corrector.core.drift - INFO - Phase correlation: shift=(-303.8671116406512, 255.7456026227735) conf=0.44641226469361717
2025-11-14 10:21:20,813 - corrector.core.run - INFO - Drift detected: (dx=5025, dy=4229) with conf=0.4464
2025-11-14 10:21:21,499 - corrector.core.run - INFO - Step 10/501: Moving to target x=613783, y=-1258624
2025-11-14 10:21:26,997 - corrector.core.drift - INFO - Phase correlation: shift=(-80.31925827014118, 247.029089452736) conf=0.6211841955010317
2025-11-14 10:21:27,077 - corrector.core.run - INFO - Drift detected: (dx=1328, dy=4085) with conf=0.6212
2025-11-14 10:21:28,179 - corrector.core.run - INFO - Step 11/501: Moving to target x=623081, y=-1257374
2025-11-14 10:21:33,224 - corrector.core.drift - INFO - Phase correlation: shift=(507.5546065250685, 296.687710739728) conf=0.3031133088437776
2025-11-14 10:21:33,288 - corrector.core.run - INFO - Drift detected: (dx=-8393, dy=4906) with conf=0.3031
2025-11-14 10:21:33,925 - corrector.core.run - INFO - Step 12/501: Moving to target x=614426, y=-1255446
2025-11-14 10:21:38,008 - corrector.core.drift - INFO - Phase correlation: shift=(178.28370327375183, 180.9018345964298) conf=0.5772450186259548
2025-11-14 10:21:38,087 - corrector.core.run - INFO - Drift detected: (dx=-2948, dy=2991) with conf=0.5772
2025-11-14 10:21:38,741 - corrector.core.run - INFO - Step 13/501: Moving to target x=618170, y=-1249683
2025-11-14 10:21:44,344 - corrector.core.drift - INFO - Phase correlation: shift=(293.0485703148048, -69.29055630718779) conf=0.6001807001669263
2025-11-14 10:21:44,440 - corrector.core.run - INFO - Drift detected: (dx=-4846, dy=-1146) with conf=0.6002
2025-11-14 10:21:45,174 - corrector.core.run - INFO - Step 14/501: Moving to target x=606994, y=-1255691
2025-11-14 10:21:50,631 - corrector.core.drift - INFO - Phase correlation: shift=(-252.62961378515274, -0.2871829249834832) conf=0.6873580492793729
2025-11-14 10:21:50,728 - corrector.core.run - INFO - Drift detected: (dx=4178, dy=-5) with conf=0.6874
2025-11-14 10:21:51,462 - corrector.core.run - INFO - Step 15/501: Moving to target x=610792, y=-1251025
2025-11-14 10:21:56,826 - corrector.core.drift - INFO - Phase correlation: shift=(-181.06597782075005, -95.97331073782175) conf=0.7345893169859803
2025-11-14 10:21:56,906 - corrector.core.run - INFO - Drift detected: (dx=2994, dy=-1587) with conf=0.7346
2025-11-14 10:21:57,992 - corrector.core.run - INFO - Step 16/501: Moving to target x=615004, y=-1255742
2025-11-14 10:22:03,245 - corrector.core.drift - INFO - Phase correlation: shift=(16.139130905056618, 44.24328379368467) conf=0.9044445758975305
2025-11-14 10:22:03,325 - corrector.core.run - INFO - Drift detected: (dx=-267, dy=732) with conf=0.9044
2025-11-14 10:22:04,428 - corrector.core.run - INFO - Step 17/501: Moving to target x=610776, y=-1254519
2025-11-14 10:22:09,473 - corrector.core.drift - INFO - Phase correlation: shift=(-46.8004440363477, 20.89810450469969) conf=0.9339371431792567
2025-11-14 10:22:09,569 - corrector.core.run - INFO - Drift detected: (dx=774, dy=346) with conf=0.9339
2025-11-14 10:22:10,670 - corrector.core.run - INFO - Step 18/501: Moving to target x=612238, y=-1259236
2025-11-14 10:22:15,681 - corrector.core.drift - INFO - Phase correlation: shift=(-74.78563754365143, 182.04727648364508) conf=0.7152064863944909
2025-11-14 10:22:15,728 - corrector.core.run - INFO - Drift detected: (dx=1237, dy=3010) with conf=0.7152
2025-11-14 10:22:16,589 - corrector.core.run - INFO - Step 19/501: Moving to target x=611382, y=-1253066
2025-11-14 10:22:22,050 - corrector.core.drift - INFO - Phase correlation: shift=(-43.80269397844586, 30.001941373454088) conf=0.927414732553274
2025-11-14 10:22:22,130 - corrector.core.run - INFO - Drift detected: (dx=724, dy=496) with conf=0.9274
2025-11-14 10:22:22,705 - corrector.core.run - INFO - Step 20/501: Moving to target x=612939, y=-1253281
2025-11-14 10:22:28,245 - corrector.core.drift - INFO - Phase correlation: shift=(-44.137903684760545, 30.284379130679838) conf=0.9240111144736751
2025-11-14 10:22:28,277 - corrector.core.run - INFO - Drift detected: (dx=730, dy=501) with conf=0.9240
2025-11-14 10:22:28,963 - corrector.core.run - INFO - Step 21/501: Moving to target x=618045, y=-1253688
2025-11-14 10:22:33,034 - corrector.core.drift - INFO - Phase correlation: shift=(213.97242744078414, 73.2936947328144) conf=0.6728878623802012
2025-11-14 10:22:33,114 - corrector.core.run - INFO - Drift detected: (dx=-3538, dy=1212) with conf=0.6729
2025-11-14 10:22:34,118 - corrector.core.run - INFO - Step 22/501: Moving to target x=616707, y=-1253655
2025-11-14 10:22:39,401 - corrector.core.drift - INFO - Phase correlation: shift=(218.9154439910884, 74.18157034738101) conf=0.6908400989366552
2025-11-14 10:22:39,481 - corrector.core.run - INFO - Drift detected: (dx=-3620, dy=1227) with conf=0.6908
2025-11-14 10:22:40,645 - corrector.core.run - INFO - Step 23/501: Moving to target x=618540, y=-1252265
2025-11-14 10:22:45,692 - corrector.core.drift - INFO - Phase correlation: shift=(256.012590755798, 48.93255446983687) conf=0.6723418733136037
2025-11-14 10:22:45,788 - corrector.core.run - INFO - Drift detected: (dx=-4234, dy=809) with conf=0.6723
2025-11-14 10:22:46,504 - corrector.core.run - INFO - Step 24/501: Moving to target x=613158, y=-1252684
2025-11-14 10:22:51,953 - corrector.core.drift - INFO - Phase correlation: shift=(117.64523761048781, 25.31417703236781) conf=0.7889326115604673
2025-11-14 10:22:52,033 - corrector.core.run - INFO - Drift detected: (dx=-1945, dy=419) with conf=0.7889
2025-11-14 10:22:53,008 - corrector.core.run - INFO - Step 25/501: Moving to target x=616854, y=-1251737
2025-11-14 10:22:58,308 - corrector.core.drift - INFO - Phase correlation: shift=(175.19379507661642, 15.88175508125255) conf=0.7616667809471283
2025-11-14 10:22:58,403 - corrector.core.run - INFO - Drift detected: (dx=-2897, dy=263) with conf=0.7617
2025-11-14 10:22:59,042 - corrector.core.run - INFO - Step 26/501: Moving to target x=619241, y=-1255716
2025-11-14 10:23:04,535 - corrector.core.drift - INFO - Phase correlation: shift=(282.9848255055856, 110.3990835627875) conf=0.5964570386938489
2025-11-14 10:23:04,630 - corrector.core.run - INFO - Drift detected: (dx=-4680, dy=1826) with conf=0.5965
2025-11-14 10:23:05,538 - corrector.core.run - INFO - Step 27/501: Moving to target x=618323, y=-1257248
2025-11-14 10:23:10,725 - corrector.core.drift - INFO - Phase correlation: shift=(274.19361712015075, 158.1722968109509) conf=0.5623501143921324
2025-11-14 10:23:10,821 - corrector.core.run - INFO - Drift detected: (dx=-4534, dy=2616) with conf=0.5624
2025-11-14 10:23:11,460 - corrector.core.run - INFO - Step 28/501: Moving to target x=608336, y=-1253557
2025-11-14 10:23:16,967 - corrector.core.drift - INFO - Phase correlation: shift=(-163.1605626743265, 17.08064318337688) conf=0.8281592823258431
2025-11-14 10:23:17,046 - corrector.core.run - INFO - Drift detected: (dx=2698, dy=282) with conf=0.8282
2025-11-14 10:23:17,701 - corrector.core.run - INFO - Step 29/501: Moving to target x=616864, y=-1251907
2025-11-14 10:23:23,412 - corrector.core.drift - INFO - Phase correlation: shift=(155.17551023111537, 18.003531639141556) conf=0.7820244516454754
2025-11-14 10:23:23,460 - corrector.core.run - INFO - Drift detected: (dx=-2566, dy=298) with conf=0.7820
2025-11-14 10:23:24,448 - corrector.core.run - INFO - Step 30/501: Moving to target x=621264, y=-1250791
2025-11-14 10:23:29,599 - corrector.core.drift - INFO - Phase correlation: shift=(440.9133516646848, 14.310711739343162) conf=0.5007120534080034
2025-11-14 10:23:29,662 - corrector.core.run - INFO - Drift detected: (dx=-7291, dy=237) with conf=0.5007
2025-11-14 10:23:30,589 - corrector.core.run - INFO - Step 31/501: Moving to target x=610859, y=-1249824
2025-11-14 10:23:35,857 - corrector.core.drift - INFO - Phase correlation: shift=(7.205627746382447, -104.13013432075508) conf=0.8251045388343643
2025-11-14 10:23:35,937 - corrector.core.run - INFO - Drift detected: (dx=-119, dy=-1722) with conf=0.8251
2025-11-14 10:23:36,559 - corrector.core.run - INFO - Step 32/501: Moving to target x=610770, y=-1250049
2025-11-14 10:23:42,198 - corrector.core.drift - INFO - Phase correlation: shift=(-1.8524732039651326, -106.91051584054759) conf=0.8523528805681192
2025-11-14 10:23:42,263 - corrector.core.run - INFO - Drift detected: (dx=31, dy=-1768) with conf=0.8524
2025-11-14 10:23:42,966 - corrector.core.run - INFO - Step 33/501: Moving to target x=616897, y=-1254250
2025-11-14 10:23:48,322 - corrector.core.drift - INFO - Phase correlation: shift=(151.6905714809834, 14.135435731247242) conf=0.7750262499529602
2025-11-14 10:23:48,418 - corrector.core.run - INFO - Drift detected: (dx=-2508, dy=234) with conf=0.7750
2025-11-14 10:23:49,568 - corrector.core.run - INFO - Step 34/501: Moving to target x=616125, y=-1249571
2025-11-14 10:23:54,867 - corrector.core.drift - INFO - Phase correlation: shift=(179.16910976485997, -87.96868964543091) conf=0.6729647894550733
2025-11-14 10:23:54,964 - corrector.core.run - INFO - Drift detected: (dx=-2963, dy=-1455) with conf=0.6730
2025-11-14 10:23:55,729 - corrector.core.run - INFO - Step 35/501: Moving to target x=615426, y=-1256753
2025-11-14 10:24:00,887 - corrector.core.drift - INFO - Phase correlation: shift=(142.11040360159166, 100.06311368601507) conf=0.7196304331354162
2025-11-14 10:24:00,967 - corrector.core.run - INFO - Drift detected: (dx=-2350, dy=1655) with conf=0.7196
2025-11-14 10:24:01,669 - corrector.core.run - INFO - Step 36/501: Moving to target x=612984, y=-1252950
2025-11-14 10:24:07,306 - corrector.core.drift - INFO - Phase correlation: shift=(96.79686930414971, 15.989320434530896) conf=0.849335413619146
2025-11-14 10:24:07,386 - corrector.core.run - INFO - Drift detected: (dx=-1601, dy=264) with conf=0.8493
2025-11-14 10:24:08,626 - corrector.core.run - INFO - Step 37/501: Moving to target x=614430, y=-1254203
2025-11-14 10:24:13,574 - corrector.core.drift - INFO - Phase correlation: shift=(95.24498434122222, 28.177002934536745) conf=0.8429374051485345
2025-11-14 10:24:13,654 - corrector.core.run - INFO - Drift detected: (dx=-1575, dy=466) with conf=0.8429
2025-11-14 10:24:14,705 - corrector.core.run - INFO - Step 38/501: Moving to target x=613524, y=-1255482
2025-11-14 10:24:18,997 - corrector.core.drift - INFO - Phase correlation: shift=(89.2069422223243, 56.81615468504435) conf=0.8131636141224249
2025-11-14 10:24:19,061 - corrector.core.run - INFO - Drift detected: (dx=-1475, dy=940) with conf=0.8132
2025-11-14 10:24:19,649 - corrector.core.run - INFO - Step 39/501: Moving to target x=609535, y=-1255668
2025-11-14 10:24:24,486 - corrector.core.drift - INFO - Phase correlation: shift=(-101.72134399485424, 31.137495471900706) conf=0.8508472216678075
2025-11-14 10:24:24,581 - corrector.core.run - INFO - Drift detected: (dx=1682, dy=515) with conf=0.8508
2025-11-14 10:24:25,267 - corrector.core.run - INFO - Step 40/501: Moving to target x=611365, y=-1256036
2025-11-14 10:24:30,688 - corrector.core.drift - INFO - Phase correlation: shift=(-84.6733582645985, 44.72854072897269) conf=0.8396578548322028
2025-11-14 10:24:30,752 - corrector.core.run - INFO - Drift detected: (dx=1400, dy=740) with conf=0.8397
2025-11-14 10:24:31,723 - corrector.core.run - INFO - Step 41/501: Moving to target x=610305, y=-1258874
2025-11-14 10:24:37,181 - corrector.core.drift - INFO - Phase correlation: shift=(-102.71449611826301, 154.73308503210694) conf=0.7107287782679308
2025-11-14 10:24:37,277 - corrector.core.run - INFO - Drift detected: (dx=1699, dy=2559) with conf=0.7107
2025-11-14 10:24:37,992 - corrector.core.run - INFO - Step 42/501: Moving to target x=608022, y=-1250194
2025-11-14 10:24:43,290 - corrector.core.drift - INFO - Phase correlation: shift=(-166.32217699232842, -112.7218557273955) conf=0.708481147851075
2025-11-14 10:24:43,354 - corrector.core.run - INFO - Drift detected: (dx=2750, dy=-1864) with conf=0.7085
2025-11-14 10:24:44,034 - corrector.core.run - INFO - Step 43/501: Moving to target x=613767, y=-1254597
2025-11-14 10:24:49,423 - corrector.core.drift - INFO - Phase correlation: shift=(-37.914119328242464, 4.645984427622352) conf=0.9378345245709138
2025-11-14 10:24:49,503 - corrector.core.run - INFO - Drift detected: (dx=627, dy=77) with conf=0.9378
2025-11-14 10:24:50,174 - corrector.core.run - INFO - Step 44/501: Moving to target x=615901, y=-1255045
2025-11-14 10:24:54,259 - corrector.core.drift - INFO - Phase correlation: shift=(84.05181149842952, 36.06668914456691) conf=0.8529825134739697
2025-11-14 10:24:54,323 - corrector.core.run - INFO - Drift detected: (dx=-1390, dy=596) with conf=0.8530
2025-11-14 10:24:55,040 - corrector.core.run - INFO - Step 45/501: Moving to target x=613254, y=-1259582
2025-11-14 10:25:00,290 - corrector.core.drift - INFO - Phase correlation: shift=(46.96468452080285, 217.59630801891274) conf=0.6649905421857674
2025-11-14 10:25:00,370 - corrector.core.run - INFO - Drift detected: (dx=-777, dy=3598) with conf=0.6650
