2025-11-14 12:59:08,266 - root - INFO - Logging configured successfully.
2025-11-14 12:59:08,266 - root - INFO - Log level: INFO, Log file: logs\last.log
2025-11-14 12:59:08,266 - corrector.core.run - INFO - Starting hysteresis data collection script
2025-11-14 12:59:08,266 - flexsem.state.manager - INFO - Connecting to 192.168.1.1:3000
2025-11-14 12:59:08,268 - flexsem.state.manager - INFO - Connected to 192.168.1.1:3000
2025-11-14 12:59:08,268 - corrector.core.run - INFO - Connected to 0300 SEM device
2025-11-14 12:59:08,317 - corrector.core.run - INFO - Dataset will be saved to hysteresis_dataset_20251114_125908.jsonl
2025-11-14 12:59:08,397 - corrector.core.run - INFO - --- Starting Iteration 1 at Base: (614550, -1255300) ---
2025-11-14 12:59:08,508 - corrector.core.run - INFO - Magnification and focus set for experiment 'random_walk_2d'
2025-11-14 12:59:09,017 - corrector.core.run - INFO - Moved to base position for experiment: x=614550, y=-1255300
2025-11-14 12:59:13,565 - corrector.core.run - INFO - Step 1/501: Moving to target x=614550, y=-1255300
2025-11-14 12:59:18,834 - corrector.core.drift - INFO - Phase correlation: shift=(0.018920933571507703, -0.01948749151051743) conf=0.6109793371391957
2025-11-14 12:59:18,915 - corrector.core.run - INFO - Drift detected: (dx=0, dy=0) with conf=0.6110
2025-11-14 12:59:19,665 - corrector.core.run - INFO - Step 2/501: Moving to target x=612914, y=-1254763
2025-11-14 12:59:24,994 - corrector.core.drift - INFO - Phase correlation: shift=(-101.89749989798656, -23.306416578682786) conf=0.4923864078868029
2025-11-14 12:59:25,042 - corrector.core.run - INFO - Drift detected: (dx=1123, dy=-257) with conf=0.4924
2025-11-14 12:59:26,095 - corrector.core.run - INFO - Step 3/501: Moving to target x=614207, y=-1257344
2025-11-14 12:59:31,236 - corrector.core.drift - INFO - Phase correlation: shift=(-107.9284687035331, 59.21247450431065) conf=0.4790743282439376
2025-11-14 12:59:31,316 - corrector.core.run - INFO - Drift detected: (dx=1190, dy=653) with conf=0.4791
2025-11-14 12:59:31,872 - corrector.core.run - INFO - Step 4/501: Moving to target x=611712, y=-1257308
2025-11-14 12:59:35,894 - corrector.core.drift - INFO - Phase correlation: shift=(-217.0205934031368, 44.02477701885948) conf=0.43470960765034705
2025-11-14 12:59:35,973 - corrector.core.run - INFO - Drift detected: (dx=2393, dy=485) with conf=0.4347
2025-11-14 12:59:36,579 - corrector.core.run - INFO - Step 5/501: Moving to target x=617227, y=-1253601
2025-11-14 12:59:40,713 - corrector.core.drift - INFO - Phase correlation: shift=(42.052232540918, -31.91999190134777) conf=0.5568973770115011
2025-11-14 12:59:40,793 - corrector.core.run - INFO - Drift detected: (dx=-464, dy=-352) with conf=0.5569
2025-11-14 12:59:41,734 - corrector.core.run - INFO - Step 6/501: Moving to target x=618184, y=-1255566
2025-11-14 12:59:47,019 - corrector.core.drift - INFO - Phase correlation: shift=(110.04055379811575, 20.93023357704709) conf=0.5169136256251324
2025-11-14 12:59:47,099 - corrector.core.run - INFO - Drift detected: (dx=-1213, dy=231) with conf=0.5169
2025-11-14 12:59:48,201 - corrector.core.run - INFO - Step 7/501: Moving to target x=616963, y=-1257532
2025-11-14 12:59:53,229 - corrector.core.drift - INFO - Phase correlation: shift=(89.89876461887718, 101.02387156794714) conf=0.4899673550787956
2025-11-14 12:59:53,310 - corrector.core.run - INFO - Drift detected: (dx=-991, dy=1114) with conf=0.4900
2025-11-14 12:59:54,361 - corrector.core.run - INFO - Step 8/501: Moving to target x=618202, y=-1258558
2025-11-14 12:59:59,631 - corrector.core.drift - INFO - Phase correlation: shift=(87.72537225535837, 150.00871819518625) conf=0.4151855193868815
2025-11-14 12:59:59,695 - corrector.core.run - INFO - Drift detected: (dx=-967, dy=1654) with conf=0.4152
2025-11-14 13:00:00,793 - corrector.core.run - INFO - Step 9/501: Moving to target x=619629, y=-1255677
2025-11-14 13:00:05,839 - corrector.core.drift - INFO - Phase correlation: shift=(232.87568654279323, 90.89573386543668) conf=0.3907914256912098
2025-11-14 13:00:05,919 - corrector.core.run - INFO - Drift detected: (dx=-2567, dy=1002) with conf=0.3908
2025-11-14 13:00:06,537 - corrector.core.run - INFO - Step 10/501: Moving to target x=619964, y=-1255912
2025-11-14 13:00:10,702 - corrector.core.drift - INFO - Phase correlation: shift=(259.92224705089416, 94.94995746291511) conf=0.3809053222639408
2025-11-14 13:00:10,781 - corrector.core.run - INFO - Drift detected: (dx=-2865, dy=1047) with conf=0.3809
2025-11-14 13:00:11,496 - corrector.core.run - INFO - Step 11/501: Moving to target x=614255, y=-1253358
2025-11-14 13:00:16,939 - corrector.core.drift - INFO - Phase correlation: shift=(20.128149401242467, -54.7285373684129) conf=0.5475734587838229
2025-11-14 13:00:17,019 - corrector.core.run - INFO - Drift detected: (dx=-222, dy=-603) with conf=0.5476
2025-11-14 13:00:17,946 - corrector.core.run - INFO - Step 12/501: Moving to target x=612325, y=-1254290
2025-11-14 13:00:23,212 - corrector.core.drift - INFO - Phase correlation: shift=(-136.03414657884719, -67.85953356525943) conf=0.4700613836178665
2025-11-14 13:00:23,259 - corrector.core.run - INFO - Drift detected: (dx=1500, dy=-748) with conf=0.4701
2025-11-14 13:00:24,009 - corrector.core.run - INFO - Step 13/501: Moving to target x=619551, y=-1253783
2025-11-14 13:00:29,503 - corrector.core.drift - INFO - Phase correlation: shift=(244.673176041484, -10.746622051747295) conf=0.3635368311801103
2025-11-14 13:00:29,582 - corrector.core.run - INFO - Drift detected: (dx=-2697, dy=-118) with conf=0.3635
2025-11-14 13:00:30,266 - corrector.core.run - INFO - Step 14/501: Moving to target x=613067, y=-1259379
2025-11-14 13:00:35,756 - corrector.core.drift - INFO - Phase correlation: shift=(-123.97809943808318, 157.27547367549948) conf=0.39728833044885004
2025-11-14 13:00:35,836 - corrector.core.run - INFO - Drift detected: (dx=1367, dy=1734) with conf=0.3973
2025-11-14 13:00:36,695 - corrector.core.run - INFO - Step 15/501: Moving to target x=613863, y=-1256007
2025-11-14 13:00:41,942 - corrector.core.drift - INFO - Phase correlation: shift=(-90.04997250709164, 54.91670284818406) conf=0.5062016001764911
2025-11-14 13:00:42,006 - corrector.core.run - INFO - Drift detected: (dx=993, dy=605) with conf=0.5062
2025-11-14 13:00:42,641 - corrector.core.run - INFO - Step 16/501: Moving to target x=615982, y=-1251681
2025-11-14 13:00:46,825 - corrector.core.drift - INFO - Phase correlation: shift=(-19.781901045180348, -153.18458472996895) conf=0.4189124250809963
2025-11-14 13:00:46,906 - corrector.core.run - INFO - Drift detected: (dx=218, dy=-1689) with conf=0.4189
2025-11-14 13:00:47,592 - corrector.core.run - INFO - Step 17/501: Moving to target x=612747, y=-1251422
2025-11-14 13:00:53,001 - corrector.core.drift - INFO - Phase correlation: shift=(-79.74551677679199, -191.09835514672517) conf=0.40057442508080554
2025-11-14 13:00:53,065 - corrector.core.run - INFO - Drift detected: (dx=879, dy=-2107) with conf=0.4006
2025-11-14 13:00:53,702 - corrector.core.run - INFO - Step 18/501: Moving to target x=616223, y=-1254614
2025-11-14 13:00:57,851 - corrector.core.drift - INFO - Phase correlation: shift=(20.02015248863529, -79.02156131226735) conf=0.5369473269515421
2025-11-14 13:00:57,915 - corrector.core.run - INFO - Drift detected: (dx=-221, dy=-871) with conf=0.5369
2025-11-14 13:00:59,159 - corrector.core.run - INFO - Step 19/501: Moving to target x=614748, y=-1255269
2025-11-14 13:01:04,126 - corrector.core.drift - INFO - Phase correlation: shift=(15.004834246036353, -50.74011389796573) conf=0.5436865126965598
2025-11-14 13:01:04,206 - corrector.core.run - INFO - Drift detected: (dx=-165, dy=-559) with conf=0.5437
2025-11-14 13:01:04,989 - corrector.core.run - INFO - Step 20/501: Moving to target x=614267, y=-1255634
2025-11-14 13:01:10,368 - corrector.core.drift - INFO - Phase correlation: shift=(-6.84179898388436, -34.925463574928244) conf=0.558559779401687
2025-11-14 13:01:10,448 - corrector.core.run - INFO - Drift detected: (dx=75, dy=-385) with conf=0.5586
2025-11-14 13:01:11,055 - corrector.core.run - INFO - Step 21/501: Moving to target x=618081, y=-1257910
2025-11-14 13:01:15,108 - corrector.core.drift - INFO - Phase correlation: shift=(92.91834967132775, 95.18429323294947) conf=0.4739844249921599
2025-11-14 13:01:15,188 - corrector.core.run - INFO - Drift detected: (dx=-1024, dy=1049) with conf=0.4740
2025-11-14 13:01:16,223 - corrector.core.run - INFO - Step 22/501: Moving to target x=616815, y=-1250726
2025-11-14 13:01:21,425 - corrector.core.drift - INFO - Phase correlation: shift=(146.02610376046073, -200.97560922459166) conf=0.4092641692911095
2025-11-14 13:01:21,473 - corrector.core.run - INFO - Drift detected: (dx=-1610, dy=-2216) with conf=0.4093
2025-11-14 13:01:22,081 - corrector.core.run - INFO - Step 23/501: Moving to target x=618482, y=-1257696
2025-11-14 13:01:26,207 - corrector.core.drift - INFO - Phase correlation: shift=(127.13219166179465, 80.99351794815857) conf=0.4605511181830761
2025-11-14 13:01:26,272 - corrector.core.run - INFO - Drift detected: (dx=-1402, dy=893) with conf=0.4606
2025-11-14 13:01:27,004 - corrector.core.run - INFO - Step 24/501: Moving to target x=609241, y=-1255025
2025-11-14 13:01:32,460 - corrector.core.drift - INFO - Phase correlation: shift=(-406.2063816786955, -80.06097266629217) conf=0.32061095872885564
2025-11-14 13:01:32,540 - corrector.core.run - INFO - Drift detected: (dx=4478, dy=-883) with conf=0.3206
2025-11-14 13:01:33,147 - corrector.core.run - INFO - Step 25/501: Moving to target x=618096, y=-1252841
2025-11-14 13:01:37,283 - corrector.core.drift - INFO - Phase correlation: shift=(126.98387543232309, -91.09999105029215) conf=0.46997611289140856
2025-11-14 13:01:37,363 - corrector.core.run - INFO - Drift detected: (dx=-1400, dy=-1004) with conf=0.4700
2025-11-14 13:01:38,512 - corrector.core.run - INFO - Step 26/501: Moving to target x=614362, y=-1254331
2025-11-14 13:01:43,630 - corrector.core.drift - INFO - Phase correlation: shift=(18.135199597700534, -83.96030053723621) conf=0.5336645965768853
2025-11-14 13:01:43,694 - corrector.core.run - INFO - Drift detected: (dx=-200, dy=-926) with conf=0.5337
2025-11-14 13:01:44,556 - corrector.core.run - INFO - Step 27/501: Moving to target x=613624, y=-1254478
2025-11-14 13:01:49,819 - corrector.core.drift - INFO - Phase correlation: shift=(-37.82488577365325, -88.04803602123837) conf=0.5223889435714301
2025-11-14 13:01:49,899 - corrector.core.run - INFO - Drift detected: (dx=417, dy=-971) with conf=0.5224
2025-11-14 13:01:50,518 - corrector.core.run - INFO - Step 28/501: Moving to target x=610795, y=-1252315
2025-11-14 13:01:56,036 - corrector.core.drift - INFO - Phase correlation: shift=(-248.99937011996548, -185.95633166722126) conf=0.3470984123536583
2025-11-14 13:01:56,100 - corrector.core.run - INFO - Drift detected: (dx=2745, dy=-2050) with conf=0.3471
2025-11-14 13:01:56,787 - corrector.core.run - INFO - Step 29/501: Moving to target x=620113, y=-1254708
2025-11-14 13:02:00,872 - corrector.core.drift - INFO - Phase correlation: shift=(302.13305965714085, -34.669959684996854) conf=0.3639263709587472
