2025-11-18 17:06:31,780 - root - INFO - Logging configured successfully.
2025-11-18 17:06:31,780 - root - INFO - Log level: INFO, Log file: logs\last.log
2025-11-18 17:06:31,781 - corrector.core.run - INFO - Starting hysteresis data collection script
2025-11-18 17:06:31,781 - flexsem.state.manager - INFO - Connecting to 192.168.1.1:3000
2025-11-18 17:06:31,782 - flexsem.state.manager - INFO - Connected to 192.168.1.1:3000
2025-11-18 17:06:31,783 - corrector.core.run - INFO - Connected to 0300 SEM device
2025-11-18 17:06:31,835 - corrector.core.run - INFO - Dataset will be saved to hysteresis_dataset_20251118_170631.jsonl
2025-11-18 17:06:31,931 - corrector.core.run - INFO - --- Starting Iteration 1 at Base: (-24000, -48150) ---
2025-11-18 17:06:32,058 - corrector.core.run - INFO - Magnification and focus set for experiment 'major_minor_x'
2025-11-18 17:06:32,473 - corrector.core.run - INFO - Moved to base position for experiment: x=-24000, y=-48150
2025-11-18 17:06:37,787 - corrector.core.run - INFO - Step 1/200: Moving to target x=-23600, y=-48150
2025-11-18 17:06:43,056 - corrector.core.drift - INFO - Phase correlation: shift=(4.849787404693075, 1.7986657545979483) conf=0.9758028621759676
2025-11-18 17:06:43,136 - corrector.core.run - INFO - Drift detected: (dx=-60, dy=22) with conf=0.9758
2025-11-18 17:06:43,868 - corrector.core.run - INFO - Step 2/200: Moving to target x=-23200, y=-48150
2025-11-18 17:06:49,103 - corrector.core.drift - INFO - Phase correlation: shift=(5.903488410882801, 1.8503611768582005) conf=0.9780838067899934
2025-11-18 17:06:49,182 - corrector.core.run - INFO - Drift detected: (dx=-73, dy=23) with conf=0.9781
2025-11-18 17:06:49,854 - corrector.core.run - INFO - Step 3/200: Moving to target x=-22800, y=-48150
2025-11-18 17:06:55,505 - corrector.core.drift - INFO - Phase correlation: shift=(5.978163374436008, 1.9422658640361306) conf=0.9878510161058576
2025-11-18 17:06:55,602 - corrector.core.run - INFO - Drift detected: (dx=-74, dy=24) with conf=0.9879
2025-11-18 17:06:56,350 - corrector.core.run - INFO - Step 4/200: Moving to target x=-22400, y=-48150
2025-11-18 17:07:01,685 - corrector.core.drift - INFO - Phase correlation: shift=(6.557402679574693, 1.9201325908503577) conf=0.9305919547262855
2025-11-18 17:07:01,748 - corrector.core.run - INFO - Drift detected: (dx=-81, dy=24) with conf=0.9306
2025-11-18 17:07:02,435 - corrector.core.run - INFO - Step 5/200: Moving to target x=-22000, y=-48150
2025-11-18 17:07:07,929 - corrector.core.drift - INFO - Phase correlation: shift=(6.2495686685664396, 1.9448406482463838) conf=0.9734433801582529
2025-11-18 17:07:07,976 - corrector.core.run - INFO - Drift detected: (dx=-78, dy=24) with conf=0.9734
2025-11-18 17:07:08,615 - corrector.core.run - INFO - Step 6/200: Moving to target x=-21600, y=-48150
2025-11-18 17:07:12,730 - corrector.core.drift - INFO - Phase correlation: shift=(7.971187999839799, 2.1161696127398386) conf=0.9880359494565826
2025-11-18 17:07:12,762 - corrector.core.run - INFO - Drift detected: (dx=-99, dy=26) with conf=0.9880
