2025-11-28 15:47:51,816 - root - INFO - Logging configured successfully.
2025-11-28 15:47:51,816 - root - INFO - Log level: INFO, Log file: logs\last.log
2025-11-28 15:47:51,817 - corrector.core.run - INFO - Starting hysteresis data collection script
2025-11-28 15:47:51,817 - flexsem.state.manager - INFO - Connecting to 192.168.1.1:3000
2025-11-28 15:47:51,818 - flexsem.state.manager - INFO - Connected to 192.168.1.1:3000
2025-11-28 15:47:51,818 - corrector.core.run - INFO - Connected to 0300 SEM device
2025-11-28 15:47:51,832 - corrector.core.run - INFO - Dataset will be saved to hysteresis_dataset_20251128_154751.jsonl
2025-11-28 15:47:51,897 - corrector.core.run - INFO - --- Starting Iteration 1 at Base: (-56500, -24650) ---
2025-11-28 15:47:53,975 - flexsem.state.manager - WARNING - Set command reported NG during initial Ack response
2025-11-28 15:47:54,038 - flexsem.state.manager - WARNING - Response <SET MAGNIFICATION EXECUTE (Response) EchoedData='8000' Ack=NG> was reported as not good
2025-11-28 15:47:54,054 - flexsem.state.manager - WARNING - Set command reported NG during initial Ack response
2025-11-28 15:47:54,118 - flexsem.state.manager - WARNING - Response <SET FOCUS ALL (Response) EchoedData='56930,31616' Ack=NG> was reported as not good
2025-11-28 15:47:54,118 - corrector.core.run - INFO - Magnification and focus set for experiment 'major_minor_x'
2025-11-28 15:47:54,641 - corrector.core.run - INFO - Moved to base position for experiment: x=-56500, y=-24650
2025-11-28 15:48:00,133 - corrector.core.run - INFO - Step 1/596: Moving to target x=-56300, y=-24650
2025-11-28 15:48:05,357 - corrector.core.drift - INFO - Phase correlation: shift=(0.0987452021364561, 0.5299123343927477) conf=0.4946915723720115
2025-11-28 15:48:05,438 - corrector.core.run - INFO - Drift detected: (dx=-1, dy=7) with conf=0.4947
2025-11-28 15:48:06,025 - corrector.core.run - INFO - Step 2/596: Moving to target x=-56100, y=-24650
2025-11-28 15:48:11,465 - corrector.core.drift - INFO - Phase correlation: shift=(0.8128905559514124, -1.8152855471195153) conf=0.5420019901417481
2025-11-28 15:48:11,546 - corrector.core.run - INFO - Drift detected: (dx=-10, dy=-23) with conf=0.5420
2025-11-28 15:48:12,089 - corrector.core.run - INFO - Step 3/596: Moving to target x=-55900, y=-24650
2025-11-28 15:48:16,306 - corrector.core.drift - INFO - Phase correlation: shift=(1.1828821878841609, -1.9067710929612645) conf=0.5622137902844285
2025-11-28 15:48:16,386 - corrector.core.run - INFO - Drift detected: (dx=-15, dy=-24) with conf=0.5622
2025-11-28 15:48:16,958 - corrector.core.run - INFO - Step 4/596: Moving to target x=-55700, y=-24650
2025-11-28 15:48:21,197 - corrector.core.drift - INFO - Phase correlation: shift=(8.868621573285509, -0.8730997721357312) conf=0.5671152992296092
2025-11-28 15:48:21,277 - corrector.core.run - INFO - Drift detected: (dx=-110, dy=-11) with conf=0.5671
2025-11-28 15:48:21,804 - corrector.core.run - INFO - Step 5/596: Moving to target x=-55500, y=-24650
2025-11-28 15:48:26,033 - corrector.core.drift - INFO - Phase correlation: shift=(21.00223853929765, 1.1282825759192292) conf=0.5662727125438652
2025-11-28 15:48:26,112 - corrector.core.run - INFO - Drift detected: (dx=-260, dy=14) with conf=0.5663
2025-11-28 15:48:26,701 - corrector.core.run - INFO - Step 6/596: Moving to target x=-55300, y=-24650
2025-11-28 15:48:31,018 - corrector.core.drift - INFO - Phase correlation: shift=(36.063045093479786, 4.715778524686073) conf=0.5235028544201608
2025-11-28 15:48:31,082 - corrector.core.run - INFO - Drift detected: (dx=-447, dy=58) with conf=0.5235
2025-11-28 15:48:31,639 - corrector.core.run - INFO - Step 7/596: Moving to target x=-55100, y=-24650
